fov,dxM,dyM,dxPx,dyPx
U09--V00--X00--Y01,-0.00004235,-0.0000847,-7,-14
U09--V02--X00--Y00,-0.0000605,0,-10,0
U09--V02--X01--Y00,-0.0001028,0.0000484,-17,8
U06--V07--X00--Y00,-0.00006655,0.0000847,-11,14
U06--V07--X00--Y01,-0.0001089,0.00004235,-18,7
U01--V00--X00--Y01,0.00009075,-0.0001089,15,-18
U08--V05--X00--Y00,-0.00001815,-0.0000242,-3,-4
U08--V05--X00--Y01,0.0001089,-0.0001089,18,-18
U09--V05--X00--Y00,0.0000847,0.0001028,14,17
U09--V05--X00--Y01,0.0000968,0.0000242,16,4
U09--V05--X01--Y00,-0.0001089,-6.0500E-6,-18,-1
U11--V02--X00--Y01,-0.0001028,-0.00001815,-17,-3
U11--V02--X01--Y01,-0.00005445,-0.00006655,-9,-11
U01--V02--X00--Y00,0.0000484,-0.0001028,8,-17
U01--V02--X00--Y01,0.00003025,0,5,0
U02--V02--X00--Y01,0.00005445,0.0000242,9,4
U02--V02--X01--Y01,-0.0001089,0.0000605,-18,10
U08--V01--X00--Y01,0.00007865,6.0500E-6,13,1
U08--V01--X01--Y01,-0.00007865,-0.0001028,-13,-17
U10--V04--X00--Y01,0.0001089,-0.00003025,18,-5
U10--V04--X01--Y01,0.00004235,0.0001089,7,18
U07--V06--X00--Y00,-0.0000726,-0.00004235,-12,-7
U07--V06--X00--Y01,0.00001815,-0.0000726,3,-12
U07--V06--X01--Y00,-0.00003025,0.0000726,-5,12
U00--V03--X00--Y01,0.00003025,0.00003025,5,5
U03--V06--X00--Y00,0.0000968,-0.00005445,16,-9
U03--V06--X00--Y01,0.0000847,-0.0000121,14,-2
U04--V05--X00--Y00,-0.0000847,-0.00009075,-14,-15
U04--V05--X00--Y01,0.00005445,0.0000726,9,12
U06--V04--X00--Y01,0.0000968,-0.0000847,16,-14
U09--V06--X00--Y00,-0.0000242,0.00004235,-4,7
U09--V06--X01--Y00,-0.0000484,0.0000847,-8,14
U02--V06--X00--Y01,-0.0000605,-0.0000242,-10,-4
U02--V06--X01--Y00,0.0000121,0.0000242,2,4
U04--V04--X00--Y01,0.0000968,0.00007865,16,13
U04--V04--X01--Y00,0.00001815,0.00006655,3,11
U04--V04--X01--Y01,-0.00005445,-0.00007865,-9,-13
U05--V00--X01--Y00,-0.0001028,0,-17,0
U05--V00--X01--Y01,0.0000121,-0.00001815,2,-3
U11--V03--X00--Y00,0.00007865,-0.00007865,13,-13
U11--V03--X00--Y01,-0.00007865,-0.0001089,-13,-18
U01--V04--X00--Y00,0.0000968,0.0000242,16,4
U01--V04--X00--Y01,-0.0000968,0.00006655,-16,11
U06--V05--X00--Y00,-0.0000121,0.0001089,-2,18
U06--V05--X00--Y01,-0.00003025,-0.00003025,-5,-5
U03--V07--X00--Y00,0.00006655,-0.0000605,11,-10
U03--V07--X00--Y01,-0.0001028,-0.00003025,-17,-5
U08--V07--X00--Y00,-0.0001028,-0.0000726,-17,-12
U08--V07--X00--Y01,-0.0001028,-6.0500E-6,-17,-1
